Time			Process		PID	Message		
----------		-------		-----	-------
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.dhcp6.0x17bb68612000] DHCP6_USING_SERVERID server is using server-id 00:01:00:06:2f:9a:e6:b7:08:00:27:42:16:cf and stores in the file /var/db/kea/kea-dhcp6-serverid
Apr 22 19:58:22 	kea-dhcp6 	20611 	WARN [kea-dhcp6.dhcpsrv.0x17bb68612000] DHCPSRV_NO_SOCKETS_OPEN no interface configured to listen to DHCP traffic
Apr 22 19:58:22 	kea-dhcp6 	20611 	WARN [kea-dhcp6.dhcp6.0x17bb68612000] DHCP6_MULTI_THREADING_INFO enabled: yes, number of threads: 2, queue size: 64
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.dhcp6.0x17bb68612000] DHCP6_STARTED Kea DHCPv6 server version 2.4.0 started
Apr 22 19:59:53 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:00:21 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcpsrv.0x1ba3d0c15f00] EVAL_RESULT Expression pool_lan_0 evaluated to 1
Apr 22 20:00:21 	kea-dhcp4 	20406 	INFO [kea-dhcp4.leases.0x1ba3d0c15f00] DHCP4_INIT_REBOOT [hwtype=1 08:00:27:f6:5f:b9], cid=[01:08:00:27:f6:5f:b9], tid=0x86c540: client is in INIT-REBOOT state and requests address 10.10.10.10
Apr 22 20:00:21 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcpsrv.0x1ba3d0c15f00] EVAL_RESULT Expression pool_lan_0 evaluated to 1
Apr 22 20:00:21 	kea-dhcp4 	20406 	INFO [kea-dhcp4.leases.0x1ba3d0c15f00] DHCP4_LEASE_ADVERT [hwtype=1 08:00:27:f6:5f:b9], cid=[01:08:00:27:f6:5f:b9], tid=0x79d08384: lease 10.10.10.10 will be advertised
Apr 22 20:00:21 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcpsrv.0x1ba3d0c15f00] EVAL_RESULT Expression pool_lan_0 evaluated to 1
Apr 22 20:00:21 	kea-dhcp4 	20406 	INFO [kea-dhcp4.leases.0x1ba3d0c15f00] DHCP4_LEASE_ALLOC [hwtype=1 08:00:27:f6:5f:b9], cid=[01:08:00:27:f6:5f:b9], tid=0x79d08384: lease 10.10.10.10 has been allocated for 7200 seconds
Apr 22 20:02:01 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:04:04 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:06:13 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:08:07 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:09:59 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:11:49 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:13:49 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:15:56 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:18:01 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:18:16 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcp4.0x1ba3d0c12000] DHCP4_SHUTDOWN server shutdown
